Unnamed: 0,title,rating,salary,job,founded_in,field,other
0,TCS,3.3,970000.0,2500.0,1968 (58 yrs old),IT Services & Consulting , Jaipur +438 other locations
1,Accenture,3.7,650000.0,34900.0,1989 (37 yrs old),IT Services & Consulting , Jaipur +254 other locations
2,Wipro,3.6,470000.0,7100.0,1945 (81 yrs old),IT Services & Consulting , Jaipur +369 other locations
3,Capgemini,3.7,470000.0,1700.0,1967 (59 yrs old),IT Services & Consulting , Jaipur +184 other locations
4,HDFC Bank,3.8,150000.0,247.0,1994 (32 yrs old),Banking , Jaipur +1819 other locations
5,Infosys,3.5,520000.0,2200.0,,IT Services & Consulting , Jaipur +246 other locations
6,ICICI Bank,4.0,150000.0,15.0,1994 (32 yrs old),Banking , Jaipur +1436 other locations
7,HCLTech,3.4,370000.0,178.0,,IT Services & Consulting , Jaipur +226 other locations
8,Tech Mahindra,3.4,280000.0,351.0,1986 (40 yrs old),IT Services & Consulting , Jaipur +331 other locations
9,Genpact,3.6,230000.0,652.0,1997 (29 yrs old),IT Services & Consulting , Jaipur +182 other locations
10,Teleperformance,3.8,95500.0,1200.0,1978 (48 yrs old),BPO , Jaipur +253 other locations
11,Axis Bank,3.6,100000.0,230.0,1993 (33 yrs old),Banking , Jaipur +1498 other locations
12,Jio,4.4,62200.0,3.0,2018 (8 yrs old),Telecom , Jaipur +1882 other locations
13,Concentrix Corporation,3.6,130000.0,82.0,1983 (43 yrs old),BPO , Jaipur +179 other locations
14,Amazon,3.9,150000.0,1500.0,1994 (32 yrs old),Internet , Jaipur +518 other locations
15,iEnergizer,4.6,23900.0,71.0,,BPO , Jaipur +51 other locations
16,Reliance Retail,3.9,74600.0,135.0,2006 (20 yrs old),Retail , Jaipur +1150 other locations
17,LTIMindtree,3.6,190000.0,436.0,1997 (29 yrs old),IT Services & Consulting , Jaipur +146 other locations
18,IBM,3.9,210000.0,938.0,1911 (115 yrs old),IT Services & Consulting , Jaipur +160 other locations
19,HDB Financial Services,3.9,50200.0,174.0,2007 (19 yrs old),NBFC , Jaipur +1089 other locations
20,Larsen & Toubro Limited,3.9,74200.0,164.0,1938 (88 yrs old),Engineering & Construction , Jaipur +754 other locations
21,Deloitte,3.7,250000.0,1300.0,1845 (181 yrs old),Management Consulting , Jaipur +187 other locations
22,Kotak Mahindra Bank,3.6,86300.0,56.0,,Banking , Jaipur +681 other locations
23,Reliance Industries,4.0,20800.0,65.0,,Oil & Gas , Jaipur +812 other locations
24,Vodafone Idea,3.9,50300.0,38.0,2018 (8 yrs old),Telecom , Jaipur +703 other locations
