Unnamed: 0,title,rating,salary,job,founded_in,field,other
0,TCS,3.3,970000.0,2500.0,1968 (58 yrs old),IT Services & Consulting , Chennai +438 other locations
1,Accenture,3.7,650000.0,34900.0,1989 (37 yrs old),IT Services & Consulting , Chennai +254 other locations
2,Wipro,3.6,470000.0,7100.0,1945 (81 yrs old),IT Services & Consulting , Chennai +369 other locations
3,Cognizant,3.6,600000.0,734.0,1994 (32 yrs old),IT Services & Consulting , Chennai +228 other locations
4,Capgemini,3.7,470000.0,1700.0,1967 (59 yrs old),IT Services & Consulting , Chennai +184 other locations
5,HDFC Bank,3.8,150000.0,247.0,1994 (32 yrs old),Banking , Chennai +1819 other locations
6,Infosys,3.5,520000.0,2200.0,,IT Services & Consulting , Chennai +246 other locations
7,ICICI Bank,4.0,150000.0,15.0,1994 (32 yrs old),Banking , Chennai +1436 other locations
8,HCLTech,3.4,370000.0,178.0,,IT Services & Consulting , Chennai +226 other locations
9,Tech Mahindra,3.4,280000.0,351.0,1986 (40 yrs old),IT Services & Consulting , Chennai +331 other locations
10,Genpact,3.6,230000.0,652.0,1997 (29 yrs old),IT Services & Consulting , Chennai +182 other locations
11,Teleperformance,3.8,95500.0,1200.0,1978 (48 yrs old),BPO , Chennai +253 other locations
12,Axis Bank,3.6,100000.0,230.0,1993 (33 yrs old),Banking , Chennai +1498 other locations
13,Jio,4.4,62200.0,3.0,2018 (8 yrs old),Telecom , Chennai +1882 other locations
14,Concentrix Corporation,3.6,130000.0,82.0,1983 (43 yrs old),BPO , Chennai +179 other locations
15,Amazon,3.9,150000.0,1500.0,1994 (32 yrs old),Internet , Chennai +518 other locations
16,iEnergizer,4.6,23900.0,71.0,,BPO , Chennai +51 other locations
17,Reliance Retail,3.9,74600.0,135.0,2006 (20 yrs old),Retail , Chennai +1150 other locations
18,LTIMindtree,3.6,190000.0,436.0,1997 (29 yrs old),IT Services & Consulting , Chennai +146 other locations
19,IBM,3.9,210000.0,938.0,1911 (115 yrs old),IT Services & Consulting , Chennai +160 other locations
20,HDB Financial Services,3.9,50200.0,174.0,2007 (19 yrs old),NBFC , Chennai +1089 other locations
21,Larsen & Toubro Limited,3.9,74200.0,164.0,1938 (88 yrs old),Engineering & Construction , Chennai +754 other locations
22,Deloitte,3.7,250000.0,1300.0,1845 (181 yrs old),Management Consulting , Chennai +187 other locations
23,Kotak Mahindra Bank,3.6,86300.0,56.0,,Banking , Chennai +681 other locations
24,Reliance Industries,4.0,24100.0,71.0,,Oil & Gas , Chennai +812 other locations
25,Vodafone Idea,3.9,50300.0,38.0,2018 (8 yrs old),Telecom , Chennai +703 other locations
26,Bharti Airtel,3.8,49100.0,114.0,1952 (74 yrs old),Telecom , Chennai +789 other locations
27,BYJU'S,3.2,53500.0,71.0,2011 (15 yrs old),EdTech , Chennai +321 other locations
28,WNS,3.3,70400.0,82.0,1996 (30 yrs old),IT Services & Consulting , Chennai +65 other locations
29,Tata Motors,4.1,43200.0,172.0,1945 (81 yrs old),Automobile , Chennai +505 other locations
30,IDFC FIRST Bank,3.9,48600.0,27.0,,Banking , Chennai +710 other locations
31,Ernst & Young,3.4,140000.0,3400.0,2002 (24 yrs old),Management Consulting , Chennai +132 other locations
32,IndusInd Bank,3.4,51800.0,143.0,,Banking , Chennai +786 other locations
33,AU Small Finance Bank,3.9,28500.0,31.0,1996 (30 yrs old),Banking , Chennai +782 other locations
34,Flipkart,3.9,53800.0,174.0,2007 (19 yrs old),Internet , Chennai +559 other locations
35,Bajaj Finserv,3.9,29900.0,4.0,2007 (19 yrs old),NBFC , Chennai +1160 other locations
36,Muthoot FinCorp,4.5,8800.0,40.0,,NBFC , Chennai +1087 other locations
37,PwC,3.3,120000.0,821.0,1880 (146 yrs old),Management Consulting , Chennai +132 other locations
38,Infosys BPM,3.5,24100.0,71.0,2002 (24 yrs old),BPO , Chennai +95 other locations
39,Mahindra & Mahindra,4.0,39500.0,1.0,1945 (81 yrs old),Automobile , Chennai +561 other locations
40,DXC Technology,3.6,72600.0,189.0,2017 (9 yrs old),IT Services & Consulting , Chennai +133 other locations
41,HDFC Life,3.9,33100.0,115.0,,Insurance , Chennai +697 other locations
42,Bandhan Bank,3.7,25900.0,12.0,,Banking , Chennai +995 other locations
43,Conneqt Business Solutions,3.6,26400.0,363.0,2002 (24 yrs old),BPO , Chennai +267 other locations
44,Mphasis,3.3,73300.0,47.0,1998 (28 yrs old),IT Services & Consulting , Chennai +63 other locations
45,Yes Bank,3.7,43300.0,166.0,2004 (22 yrs old),Banking , Chennai +540 other locations
46,Tata Steel,4.0,33800.0,71.0,1907 (119 yrs old),Iron & Steel , Chennai +228 other locations
47,Quess,3.8,30500.0,2.0,2007 (19 yrs old),Recruitment , Chennai +739 other locations
48,Startek,3.1,24400.0,128.0,2017 (9 yrs old),BPO , Chennai +107 other locations
49,Asian Paints,4.0,25100.0,53.0,,Chemicals , Chennai +547 other locations
50,UltraTech Cement,4.1,24000.0,25.0,1983 (43 yrs old),Building Material , Chennai +534 other locations
51,Paytm,3.2,33900.0,325.0,,FinTech , Chennai +418 other locations
52,Shriram Finance,4.0,15200.0,8.0,1979 (47 yrs old),NBFC , Chennai +1109 other locations
53,Bajaj Finance,3.9,24100.0,71.0,,NBFC , Chennai +965 other locations
54,Maruti Suzuki,4.2,27400.0,693.0,1981 (45 yrs old),Automobile , Chennai +446 other locations
55,Equitas Small Finance Bank,4.4,13200.0,12.0,,Banking , Chennai +479 other locations
56,Sutherland Global Services,3.4,34400.0,289.0,,BPO , Chennai +82 other locations
57,EXL Service,3.6,43900.0,1400.0,,Analytics & KPO , Chennai +63 other locations
58,Cipla,4.1,26000.0,65.0,1935 (91 yrs old),Pharma , Chennai +291 other locations
59,Samsung,3.9,26300.0,28.0,1969 (57 yrs old),Consumer Electronics & Appliances , Chennai +577 other locations
60,Ericsson,3.9,42600.0,65.0,,Telecom , Chennai +162 other locations
61,Wells Fargo,3.7,55100.0,91.0,,Financial Services , Chennai +28 other locations
62,Dr. Reddy's,4.0,25900.0,9.0,1984 (42 yrs old),Pharma , Chennai +213 other locations
